count_point_id,region_name,local_authority_name,road_name,road_type,latitude,longitude,hour,direction_of_travel,year,count_date,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,7,E,2005,2005-05-03,9,24,2159,12,313
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,8,E,2005,2005-05-03,15,17,2616,10,183
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,9,E,2005,2005-05-03,4,6,1785,18,355
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,10,E,2005,2005-05-03,1,7,970,13,165
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,11,E,2005,2005-05-03,0,6,816,18,186
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,12,E,2005,2005-05-03,2,4,836,10,175
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,13,E,2005,2005-05-03,2,6,993,11,199
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,14,E,2005,2005-05-03,2,9,860,9,195
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,15,E,2005,2005-05-03,1,6,892,18,168
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,16,E,2005,2005-05-03,0,13,1205,18,219
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,17,E,2005,2005-05-03,5,18,1209,17,112
27302,North West,Sefton,A565,Major,53.45650629,-3.00671783,18,E,2005,2005-05-03,2,4,1079,14,65
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,7,E,2005,2005-05-13,6,4,507,16,119
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,8,E,2005,2005-05-13,2,2,899,8,148
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,9,E,2005,2005-05-13,8,6,371,9,121
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,10,E,2005,2005-05-13,2,5,463,7,116
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,11,E,2005,2005-05-13,1,6,602,13,118
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,12,E,2005,2005-05-13,0,5,682,11,140
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,13,E,2005,2005-05-13,3,5,657,13,137
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,14,E,2005,2005-05-13,3,6,637,12,154
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,15,E,2005,2005-05-13,2,7,843,20,155
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,16,E,2005,2005-05-13,1,11,982,13,139
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,17,E,2005,2005-05-13,6,9,986,7,93
27890,North West,Sefton,A5036,Major,53.4709803,-2.9957613,18,E,2005,2005-05-13,0,8,758,12,57
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,7,E,2005,2005-10-12,3,0,248,5,47
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,8,E,2005,2005-10-12,10,4,513,8,66
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,9,E,2005,2005-10-12,2,1,269,10,75
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,10,E,2005,2005-10-12,6,1,344,21,51
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,11,E,2005,2005-10-12,0,1,367,6,55
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,12,E,2005,2005-10-12,2,2,385,8,51
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,13,E,2005,2005-10-12,5,5,509,6,62
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,14,E,2005,2005-10-12,2,4,496,8,74
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,15,E,2005,2005-10-12,3,2,541,9,68
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,16,E,2005,2005-10-12,4,0,437,9,50
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,17,E,2005,2005-10-12,3,3,505,9,38
37345,North West,Sefton,A570,Major,53.63736439,-2.98455195,18,E,2005,2005-10-12,1,1,306,4,30
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,12,E,2005,2005-06-09,3,7,948,7,165
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,13,E,2005,2005-06-09,4,6,1060,10,163
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,14,E,2005,2005-06-09,5,14,890,16,224
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,15,E,2005,2005-06-09,3,3,1127,15,240
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,16,E,2005,2005-06-09,3,26,1639,9,274
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,17,E,2005,2005-06-09,6,31,1789,10,160
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,18,E,2005,2005-06-09,9,19,1299,5,82
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,7,E,2005,2005-06-09,10,10,985,8,225
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,8,E,2005,2005-06-09,3,4,1135,13,241
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,9,E,2005,2005-06-09,2,4,1572,9,319
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,10,E,2005,2005-06-09,0,3,674,14,175
47741,North West,Sefton,A5036,Major,53.48201221,-2.96588092,11,E,2005,2005-06-09,2,4,725,8,132
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,7,E,2005,2005-05-24,0,0,140,15,30
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,8,E,2005,2005-05-24,0,0,171,16,34
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,9,E,2005,2005-05-24,0,0,172,16,42
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,10,E,2005,2005-05-24,0,1,235,16,50
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,11,E,2005,2005-05-24,0,0,219,15,61
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,12,E,2005,2005-05-24,0,2,216,21,47
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,13,E,2005,2005-05-24,1,0,203,14,55
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,14,E,2005,2005-05-24,1,0,252,19,77
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,15,E,2005,2005-05-24,1,3,260,14,65
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,16,E,2005,2005-05-24,2,3,517,13,87
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,17,E,2005,2005-05-24,0,3,599,15,52
57593,North West,Sefton,A5058,Major,53.44709562,-2.98180169,18,E,2005,2005-05-24,2,5,259,12,25
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,7,E,2005,2005-04-14,0,2,301,2,17
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,8,E,2005,2005-04-14,0,0,605,12,37
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,9,E,2005,2005-04-14,0,0,209,5,26
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,10,E,2005,2005-04-14,1,0,64,7,12
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,11,E,2005,2005-04-14,0,0,83,2,13
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,12,E,2005,2005-04-14,0,0,93,1,9
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,13,E,2005,2005-04-14,0,0,93,3,14
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,14,E,2005,2005-04-14,0,0,105,3,22
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,15,E,2005,2005-04-14,1,0,104,1,8
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,16,E,2005,2005-04-14,0,2,111,4,14
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,17,E,2005,2005-04-14,0,3,110,3,11
930637,North West,Sefton,U,Minor,53.50580255,-2.980595,18,E,2005,2005-04-14,4,2,101,2,7
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,12,E,2005,2005-05-04,5,0,93,4,15
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,13,E,2005,2005-05-04,0,0,80,0,22
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,14,E,2005,2005-05-04,1,0,105,2,14
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,15,E,2005,2005-05-04,3,2,137,6,14
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,16,E,2005,2005-05-04,10,0,135,3,14
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,17,E,2005,2005-05-04,3,0,184,3,12
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,18,E,2005,2005-05-04,2,2,151,2,7
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,7,E,2005,2005-05-04,3,0,128,0,8
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,8,E,2005,2005-05-04,6,0,342,3,23
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,9,E,2005,2005-05-04,3,0,121,4,13
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,10,E,2005,2005-05-04,3,0,78,3,9
930638,North West,Sefton,U,Minor,53.55120742,-3.07341637,11,E,2005,2005-05-04,8,3,102,3,20
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,7,E,2005,2005-06-21,1,0,52,1,15
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,8,E,2005,2005-06-21,6,1,125,1,11
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,9,E,2005,2005-06-21,3,0,85,1,13
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,10,E,2005,2005-06-21,2,0,59,0,7
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,11,E,2005,2005-06-21,0,1,57,0,9
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,12,E,2005,2005-06-21,2,0,62,0,5
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,13,E,2005,2005-06-21,3,2,46,0,6
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,14,E,2005,2005-06-21,4,1,54,0,9
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,15,E,2005,2005-06-21,0,1,79,1,8
930639,North West,Sefton,U,Minor,53.48814415,-2.96345811,16,E,2005,2005-06-21,3,0,125,0,9
